Data,Prodotto,Vendite,Prezzo
2024-01-01,Smartphone,10,499
2024-01-01,Laptop,5,899
2024-01-01,Tablet,8,299
2024-01-02,Smartphone,12,499
2024-01-02,Laptop,4,899
2024-01-02,Tablet,7,299
2024-01-03,Smartphone,9,499
2024-01-03,Laptop,6,899
2024-01-03,Tablet,10,299
2024-01-04,Smartphone,11,499
2024-01-04,Laptop,3,899
2024-01-04,Tablet,6,299
2024-01-05,Smartphone,13,499
2024-01-05,Laptop,5,899
2024-01-05,Tablet,9,299
2024-01-06,Smartphone,,499
2024-01-06,Laptop,5,899
2024-01-06,Tablet,9,299
2024-01-06,Tablet,9,299
